#Annotated with Bakta v1.12.0, https://github.com/oschwengers/bakta
#Database v6.0, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
contig_1	1281215	1281481	+	GJIDJL_01271	10.1	5.2		RefSeq:WP_016230783.1, SO:0001217, UniParc:UPI000339D88E, UniRef:UniRef100_UPI000339D88E, UniRef:UniRef50_B7MMF9, UniRef:UniRef90_B7MMF9
contig_1	1438823	1439062	-	GJIDJL_01437	8.8	9.2		RefSeq:WP_000476208.1, SO:0001217, UniParc:UPI000219C910, UniRef:UniRef100_A0A0E0XY40, UniRef:UniRef50_A0A0E0XY40, UniRef:UniRef90_A0A0E0XY40
contig_1	1450211	1450759	-	GJIDJL_01458	21.0	9.6		RefSeq:WP_001131905.1, SO:0001217, UniParc:UPI00017882BD, UniRef:UniRef100_A0A192EZC9, UniRef:UniRef50_H5UYY1, UniRef:UniRef90_A0A2T3UWH0
contig_1	1458503	1458634	+	GJIDJL_01472	4.6	8.0		RefSeq:WP_001280932.1, SO:0001217, UniParc:UPI000173FE2E, UniRef:UniRef100_A0A086V7V2, UniRef:UniRef50_A0A0E1IMK2, UniRef:UniRef90_A0A0E1IMK2
contig_1	1459455	1459595	+	GJIDJL_01474	5.1	5.5		RefSeq:WP_000347013.1, SO:0001217, UniParc:UPI00000D2985, UniRef:UniRef100_A0A066T8Z3, UniRef:UniRef50_A0A376L5L2, UniRef:UniRef90_A0A066T8Z3
contig_1	1497914	1498063	+	GJIDJL_01516	5.7	9.9		RefSeq:WP_000155622.1, SO:0001217, UniParc:UPI00000DEC8C, UniRef:UniRef100_A0A066SSE6, UniRef:UniRef50_B2U498, UniRef:UniRef90_B2U498
contig_1	1504423	1504629	-	GJIDJL_01523	7.3	8.8		SO:0001217, UniParc:UPI00005F2DA0, UniRef:UniRef100_J7Q7Z4, UniRef:UniRef50_A0A380AAL8, UniRef:UniRef90_A0A380AAL8
contig_1	1504666	1504776	-	GJIDJL_01524	4.1	9.9		SO:0001217, UniParc:UPI00015C4D1A, UniRef:UniRef100_J7R1Z9, UniRef:UniRef50_J7R1Z9, UniRef:UniRef90_J7R1Z9
contig_1	1632530	1633210	-	GJIDJL_01660	25.4	8.5	PF12796.13|Ank_2	PFAM:PF12796.13
contig_1	1676266	1676469	-	GJIDJL_01712	8.1	9.4		RefSeq:WP_000985715.1, SO:0001217, UniParc:UPI000219C8E4, UniRef:UniRef100_A0A0E0XYT7, UniRef:UniRef50_A0A0E0XYT7, UniRef:UniRef90_A0A0E0XYT7
contig_1	1676459	1676779	-	GJIDJL_01713	12.0	5.6		RefSeq:WP_001038613.1, SO:0001217, UniParc:UPI000219C8E3, UniRef:UniRef100_A0A0E0Y203, UniRef:UniRef50_A0A0E0Y203, UniRef:UniRef90_A0A0E0Y203
contig_1	1679599	1679994	+	GJIDJL_01721	14.9	5.3		RefSeq:WP_000416308.1, SO:0001217, UniParc:UPI000219C8DD, UniRef:UniRef100_A0AB33I0D7, UniRef:UniRef50_S5N7N9, UniRef:UniRef90_A0A0B0XRU7
contig_1	1695756	1695932	+	GJIDJL_01737	6.5	9.5		SO:0001217, UniParc:UPI00000DEC18, UniRef:UniRef100_A0A094VR45, UniRef:UniRef50_A0A094VR45, UniRef:UniRef90_A0A094VR45
contig_1	1762837	1763037	-	GJIDJL_01806	7.8	9.8		SO:0001217, UniParc:UPI000178A572, UniRef:UniRef100_J7Q7Q8, UniRef:UniRef50_B2U2D3, UniRef:UniRef90_B2U2D3
contig_1	1817703	1818089	-	GJIDJL_01859	14.5	6.2		RefSeq:WP_000660961.1, SO:0001217, UniParc:UPI000219C37B, UniRef:UniRef100_A0A0E0Y2E3, UniRef:UniRef50_A0A792DQI3, UniRef:UniRef90_A0A792DQI3
contig_1	1819029	1819388	-	GJIDJL_01862	13.5	6.7		RefSeq:WP_001005963.1, SO:0001217, UniParc:UPI000219C7D4, UniRef:UniRef100_UPI000219C7D4, UniRef:UniRef50_A0A376W3K7, UniRef:UniRef90_A0A826LKY8
contig_1	1823832	1824050	+	GJIDJL_01870	8.2	4.6		RefSeq:WP_000438870.1, SO:0001217, UniParc:UPI00018874A5, UniRef:UniRef100_A0A0A8KFQ4, UniRef:UniRef50_A0A376M9J1, UniRef:UniRef90_A0A0A8KFQ4
contig_1	1827957	1828112	-	GJIDJL_01877	5.7	6.7		SO:0001217, UniRef:UniRef50_A0A0B0VQB9, UniRef:UniRef90_A0A0B0VQB9
contig_1	1829738	1829992	-	GJIDJL_01883	9.5	10.2		SO:0001217, UniParc:UPI000219C81D, UniRef:UniRef100_A0A0E0XYY0, UniRef:UniRef50_A0A0E0XYY0, UniRef:UniRef90_A0A0E0XYY0
contig_1	1868174	1868449	+	GJIDJL_01924	10.0	9.9		RefSeq:WP_000481378.1, SO:0001217, UniParc:UPI000219C912, UniRef:UniRef100_A0A0E0Y0S3, UniRef:UniRef50_V5USD9, UniRef:UniRef90_A0A0E0Y0S3
contig_1	1928629	1928721	+	GJIDJL_01986	3.2	8.3		SO:0001217, UniParc:UPI00015C4BFB, UniRef:UniRef100_A0A0J2CWG5, UniRef:UniRef50_A0AAE9PW44, UniRef:UniRef90_A0A0J2CWG5
contig_1	2000876	2001100	+	GJIDJL_02043	8.4	5.5		RefSeq:WP_000123970.1, SO:0001217, UniParc:UPI00000D09FB, UniRef:UniRef100_A0A037Y8N1, UniRef:UniRef50_A0A037Y8N1, UniRef:UniRef90_A0A037Y8N1
contig_1	2224581	2224799	+	GJIDJL_02253	8.2	9.0		RefSeq:WP_000196532.1, SO:0001217, UniParc:UPI00015C49A8, UniRef:UniRef100_J7R063, UniRef:UniRef50_A0A658YVE2, UniRef:UniRef90_J7R063
contig_1	2348100	2348228	+	GJIDJL_02378	4.9	9.9		SO:0001217, UniParc:UPI00017A9189, UniRef:UniRef100_A0A066SWR7, UniRef:UniRef50_A0A376CVP3, UniRef:UniRef90_A0A376CVP3
contig_1	2349788	2350054	+	GJIDJL_02381	10.1	5.2		RefSeq:WP_016230783.1, SO:0001217, UniParc:UPI000339D88E, UniRef:UniRef100_UPI000339D88E, UniRef:UniRef50_B7MMF9, UniRef:UniRef90_B7MMF9
contig_1	2352923	2353159	+	GJIDJL_02386	8.3	9.9		SO:0001217, UniParc:UPI00023220EC, UniRef:UniRef100_A0A2H3LWI5, UniRef:UniRef50_A0A0E2KXY2, UniRef:UniRef90_A0A0E2KXY2
contig_1	2358155	2358265	+	GJIDJL_02393	4.1	8.6		SO:0001217, UniParc:UPI00023220EA, UniRef:UniRef100_A0A2X1L4Y4, UniRef:UniRef50_A7ZVH4, UniRef:UniRef90_A7ZVH4
contig_1	2383594	2383875	-	GJIDJL_02419	10.2	8.9		SO:0001217, UniParc:UPI00023220C9, UniRef:UniRef100_A0A2X1J697, UniRef:UniRef50_A0A2X1J697, UniRef:UniRef90_A0A2X1J697
contig_1	2399711	2400340	+	GJIDJL_02435	23.3	10.1		RefSeq:WP_000729465.1, SO:0001217, UniParc:UPI0001887DEA, UniRef:UniRef100_A0A086UUI8, UniRef:UniRef50_A0A086UUI8, UniRef:UniRef90_A0A086UUI8
contig_1	2405929	2406222	+	GJIDJL_02441	10.6	4.7		RefSeq:WP_001143292.1, SO:0001217, UniParc:UPI0001F081E4, UniRef:UniRef100_A0A086TZP1, UniRef:UniRef50_D2TNZ4, UniRef:UniRef90_A9MES5
contig_1	2547974	2548126	+	GJIDJL_02592	5.9	9.1		SO:0001217, UniRef:UniRef50_A0A0E2L1Y9, UniRef:UniRef90_A0A0E2L1Y9
contig_1	2551830	2551937	+	GJIDJL_02595	4.1	4.1		SO:0001217, UniParc:UPI0002322094, UniRef:UniRef100_A0A0A0F933, UniRef:UniRef50_A0A0A0F933, UniRef:UniRef90_A0A0A0F933
contig_1	2558157	2558738	+	GJIDJL_02598	22.3	9.0		RefSeq:WP_000291751.1, SO:0001217, UniParc:UPI00000AF988, UniRef:UniRef100_A0AAN3NZ26, UniRef:UniRef50_A0A0H2VC54, UniRef:UniRef90_A0A0H2VC54
contig_2	48348	48440	-	GJIDJL_02669	3.6	11.8		SO:0001217, UniRef:UniRef50_A0A0J2CF18, UniRef:UniRef90_A0A0J2CF18
contig_2	122955	123062	+	GJIDJL_02749	4.2	7.9		SO:0001217, UniRef:UniRef50_A0A2X3KL34, UniRef:UniRef90_A0A656BYC6
contig_2	161041	161259	-	GJIDJL_02790	8.3	9.5		RefSeq:WP_001127070.1, SO:0001217, UniParc:UPI00000D0E37, UniRef:UniRef100_J7R805, UniRef:UniRef50_J7R805, UniRef:UniRef90_J7R805
contig_2	178733	178822	-	GJIDJL_02806	3.6	4.1		SO:0001217, UniParc:UPI00023221FB, UniRef:UniRef100_A0A2X5LWA1, UniRef:UniRef50_A0A2X3JV04, UniRef:UniRef50_A0A2X5LWA1, UniRef:UniRef90_A0A2X5LWA1, UniRef:UniRef90_A0A377E1E4
contig_2	300535	300648	-	GJIDJL_02933	4.3	4.1		SO:0001217, UniParc:UPI000005D160, UniRef:UniRef100_Q8VQQ1, UniRef:UniRef50_Q8VQQ1, UniRef:UniRef90_Q8VQQ1
contig_2	314769	314978	+	GJIDJL_02949	7.5	7.8		SO:0001217, UniParc:UPI000219CA97, UniRef:UniRef100_A0A0E0XS65, UniRef:UniRef50_A0A0E0XS65, UniRef:UniRef90_A0A0E0XS65
contig_2	532315	532593	+	GJIDJL_03155	9.8	9.7		RefSeq:WP_001205333.1, SO:0001217, UniParc:UPI0001DCA200, UniRef:UniRef100_A0A0D0NCM2, UniRef:UniRef50_A0A2S8JRI1, UniRef:UniRef90_A0A2S8JRI1
contig_2	543798	543971	-	GJIDJL_03172	6.1	5.2		RefSeq:WP_001296816.1, SO:0001217, UniParc:UPI000176AEAF, UniRef:UniRef100_J7QAA8, UniRef:UniRef50_J7QAA8, UniRef:UniRef90_A0A377AAL0, UniRef:UniRef90_J7QAA8
contig_2	787905	788195	+	GJIDJL_03426	11.0	9.1		SO:0001217, UniParc:UPI0001E4D240, UniRef:UniRef100_J7QA02, UniRef:UniRef50_J7QA02, UniRef:UniRef90_J7QA02
contig_2	800895	801056	+	GJIDJL_03439	6.1	7.9		SO:0001217, UniParc:UPI00019F4AFF, UniRef:UniRef100_J7QWC2, UniRef:UniRef50_A0A192CDE3, UniRef:UniRef90_A0A192CDE3
contig_3	71878	72027	+	GJIDJL_03684	5.8	4.4		SO:0001217, UniRef:UniRef50_A0A836NG54, UniRef:UniRef90_A0A836NG54
contig_3	112114	112206	+	GJIDJL_03743	3.6	5.9		SO:0001217, UniRef:UniRef50_A0A0K3QRK2, UniRef:UniRef90_A0A0K3QRK2
contig_3	378992	379225	-	GJIDJL_03993	8.7	9.4		SO:0001217, UniParc:UPI00023220AD, UniRef:UniRef100_A0A2H3M0L0, UniRef:UniRef50_A0A0H4IPH8, UniRef:UniRef90_A0A1Y2Y1U3
contig_3	384406	384801	-	GJIDJL_04004	15.0	6.4		RefSeq:WP_001159715.1, SO:0001217, UniParc:UPI000219C323, UniRef:UniRef100_A0A0A8KEA3, UniRef:UniRef50_A0A0H4IQ60, UniRef:UniRef90_A0A0H4IQ60
contig_3	394763	395140	+	GJIDJL_04020	13.5	10.2		RefSeq:WP_001271433.1, SO:0001217, UniParc:UPI00016C813D, UniRef:UniRef100_A0A0D7YC32, UniRef:UniRef50_A0A096XEN5, UniRef:UniRef90_A0A0D7YC32
contig_4	1993	2397	-	GJIDJL_04037	15.1	5.9		RefSeq:WP_000240372.1, SO:0001217, UniParc:UPI000219C715, UniRef:UniRef100_A0A2H3LS44, UniRef:UniRef50_A0A2H3LS44, UniRef:UniRef90_A0A2H3LS44
contig_4	2533	2757	-	GJIDJL_04038	8.7	7.8		SO:0001217, UniParc:UPI000219C716, UniRef:UniRef100_A0A2H3LZG5, UniRef:UniRef50_A0A2H3LZG5, UniRef:UniRef90_A0A2H3LZG5
contig_4	2851	3138	-	GJIDJL_04039	11.5	5.9		RefSeq:WP_000343118.1, SO:0001217, UniParc:UPI000219C717, UniRef:UniRef100_A0A0E0Y3G1, UniRef:UniRef50_A0A4P7TT60, UniRef:UniRef50_A0AA51SM60, UniRef:UniRef90_A0A0E0Y3G1, UniRef:UniRef90_A0A4P7TT60
contig_4	4043	4174	-	GJIDJL_04042	4.5	8.0		RefSeq:WP_001280935.1, SO:0001217, UniParc:UPI00017A9219, UniRef:UniRef100_A0A066QH79, UniRef:UniRef50_A0A066QH79, UniRef:UniRef90_A0A066QH79
contig_4	18844	19038	-	GJIDJL_04067	7.4	6.5		RefSeq:WP_001295058.1, SO:0001217, UniParc:UPI000219C641, UniRef:UniRef100_A0A0K5LQA3, UniRef:UniRef50_A0A210GNA9, UniRef:UniRef90_A0A210GNA9
contig_4	37907	38068	+	GJIDJL_04087	5.9	4.4		RefSeq:WP_000021851.1, SO:0001217, UniParc:UPI0002322116, UniRef:UniRef100_A0A140NAE8, UniRef:UniRef50_A0A0H3EJ07, UniRef:UniRef50_UPI0025A0046D, UniRef:UniRef90_A0A0H3EJ07, UniRef:UniRef90_UPI001BDD5D0B
contig_4	59083	59301	-	GJIDJL_04110	8.6	8.7		RefSeq:WP_000069486.1, SO:0001217, UniParc:UPI0001825DB1, UniRef:UniRef100_A0A023LE77, UniRef:UniRef50_Q32GY0, UniRef:UniRef90_Q32GY0
contig_4	80470	80649	-	GJIDJL_04137	7.1	9.9		SO:0001217, UniParc:UPI000219C609, UniRef:UniRef100_A0A0E0Y1M3, UniRef:UniRef50_A0A0E0Y1M3, UniRef:UniRef90_A0A0E0Y1M3
contig_4	96745	96894	-	GJIDJL_04150	5.6	7.9		SO:0001217, UniParc:UPI0001E4CC7B, UniRef:UniRef100_A0A0J2B3T8, UniRef:UniRef50_A0A0J2B3T8, UniRef:UniRef90_A0A0J2B3T8
contig_4	238880	239038	+	GJIDJL_04309	6.4	5.1		
contig_4	248692	249465	+	GJIDJL_04321	29.5	5.4		RefSeq:WP_001040056.1, SO:0001217, UniParc:UPI0002301870, UniRef:UniRef100_A0A172CMQ8, UniRef:UniRef50_A0A2L0W217, UniRef:UniRef90_A0A2L0W217
contig_4	277959	278282	+	GJIDJL_04351	10.4	5.5		RefSeq:WP_001390454.1, SO:0001217, UniParc:UPI000232211B, UniRef:UniRef100_A0A2A3VR86, UniRef:UniRef50_A0A2A3VR86, UniRef:UniRef90_A0A2A3VR86
contig_4	284380	284469	-	GJIDJL_04356	3.3	4.9		
contig_4	284738	284899	+	GJIDJL_04358	6.0	5.6		SO:0001217, UniRef:UniRef50_A0A2X7A3L9, UniRef:UniRef90_A0A2X7A3L9
contig_4	285893	285988	+	GJIDJL_04361	3.6	8.4		
contig_4	292013	292192	+	GJIDJL_04367	6.8	6.0		RefSeq:WP_001299815.1, SO:0001217, UniParc:UPI000178899C, UniRef:UniRef100_W0S0M2, UniRef:UniRef50_W0S0M2, UniRef:UniRef90_W0S0M2
contig_4	292244	292438	+	GJIDJL_04368	7.7	9.7		RefSeq:WP_001004881.1, SO:0001217, UniParc:UPI000000E788, UniRef:UniRef100_W0S3M0, UniRef:UniRef50_W0S3M0, UniRef:UniRef90_W0S3M0
contig_4	305276	307111	-	GJIDJL_04379	72.2	8.2		RefSeq:WP_001258868.1, SO:0001217, UniParc:UPI00021AE102, UniRef:UniRef100_A0A0E0Y2I6, UniRef:UniRef50_A0AAP3ELJ4, UniRef:UniRef90_A0A0E0Y2I6
contig_5	130107	130208	+	GJIDJL_04569	3.9	11.6		SO:0001217, UniParc:UPI00015C4AA5, UniRef:UniRef100_J7Q6B1, UniRef:UniRef50_A0A658Z4P2, UniRef:UniRef90_A0A658Z4P2
contig_5	237018	237113	-	GJIDJL_04661	3.5	8.2		SO:0001217, UniParc:UPI0002322111, UniRef:UniRef100_A0A7Z8ZNC3, UniRef:UniRef50_A0A7Z8ZNC3, UniRef:UniRef90_A0A7Z8ZNC3
contig_5	240309	240581	-	GJIDJL_04665	10.3	6.6		RefSeq:WP_000773311.1, SO:0001217, UniParc:UPI00018879BB, UniRef:UniRef100_A0A0A8KB99, UniRef:UniRef50_K8WYM4, UniRef:UniRef90_A0A0A8KB99
contig_5	241024	241347	-	GJIDJL_04667	12.1	9.7		RefSeq:WP_000654335.1, SO:0001217, UniParc:UPI00018879BA, UniRef:UniRef100_B7L409, UniRef:UniRef50_B7L409, UniRef:UniRef90_B7L409
contig_5	242604	242726	+	GJIDJL_04669	4.7	9.6		
contig_5	246413	246613	-	GJIDJL_04674	7.3	8.7		RefSeq:WP_000528108.1, SO:0001217, UniParc:UPI00018879B4, UniRef:UniRef100_A0A2H3MF70, UniRef:UniRef50_A0A5R8U9V3, UniRef:UniRef90_A0A5R8U9V3
contig_5	249814	250611	-	GJIDJL_04680	31.0	4.7		RefSeq:WP_000565286.1, SO:0001217, UniParc:UPI000219C38B, UniRef:UniRef100_A0A1M1NHR9, UniRef:UniRef50_A0A1M1NHR9, UniRef:UniRef90_A0A1M1NHR9
contig_5	256241	256438	-	GJIDJL_04686	7.3	6.1		RefSeq:WP_001387927.1, SO:0001217, UniParc:UPI000232210E, UniRef:UniRef100_A0A7G6KBZ5, UniRef:UniRef50_A0A0B1JVX3, UniRef:UniRef90_A0A1X0YY22
contig_5	257636	258019	-	GJIDJL_04688	13.4	4.9		RefSeq:WP_000013184.1, SO:0001217, UniParc:UPI00005EEB67, UniRef:UniRef100_A0A0A2NY56, UniRef:UniRef50_A0A0A2NY56, UniRef:UniRef90_A0A0A2NY56
contig_5	259772	260155	-	GJIDJL_04692	14.6	8.8		RefSeq:WP_000532776.1, SO:0001217, UniParc:UPI0001DC586B, UniRef:UniRef100_A0A0E0Y3N8, UniRef:UniRef50_A0A0E0Y3N8, UniRef:UniRef90_A0A0E0Y3N8
contig_5	260253	260522	-	GJIDJL_04693	10.1	5.4		RefSeq:WP_000221926.1, SO:0001217, UniParc:UPI000219C4C7, UniRef:UniRef100_A0A0E0Y6Y0, UniRef:UniRef50_A0A0E0Y6Y0, UniRef:UniRef90_A0A0E0Y6Y0
contig_5	261348	261530	-	GJIDJL_04695	7.2	9.4		RefSeq:WP_001296967.1, SO:0001217, UniParc:UPI000176C083, UniRef:UniRef100_A0A0A8KBV1, UniRef:UniRef50_A0A244BC92, UniRef:UniRef90_A0A244BC92
contig_5	264097	264255	+	GJIDJL_04697	5.9	6.9		RefSeq:WP_000550450.1, SO:0001217, UniParc:UPI0001FB89A9, UniRef:UniRef100_A0A7L6L6N5, UniRef:UniRef50_A0A7L6L6N5, UniRef:UniRef90_A0A7L6L6N5
contig_6	129537	129689	-	GJIDJL_04852	5.4	5.6		SO:0001217, UniParc:UPI000174CEBA, UniRef:UniRef100_J7QJD9, UniRef:UniRef50_A0A376RST0, UniRef:UniRef90_A0A478J301
contig_7	23389	23583	-	GJIDJL_04973	7.3	10.1		SO:0001217, UniParc:UPI000232209F, UniRef:UniRef100_A0A3P5DN69, UniRef:UniRef50_A0A3P5DN69, UniRef:UniRef90_A0A2Y8JQ78
contig_8	21843	21965	+	GJIDJL_05171	4.7	9.7		RefSeq:WP_001297734.1, SO:0001217, UniParc:UPI00015C49D5, UniRef:UniRef100_A0A099B4R4, UniRef:UniRef50_B1LLC3, UniRef:UniRef90_B1LLC3
contig_9	72463	72639	+	GJIDJL_05412	6.8	5.3		RefSeq:WP_001054898.1, SO:0001217, UniParc:UPI00017F3A20, UniRef:UniRef100_I7A4Z0, UniRef:UniRef50_I7A4Z0, UniRef:UniRef90_I7A4Z0
contig_10	2198	2317	-	GJIDJL_05434	4.3	5.5		SO:0001217, UniParc:UPI00023221FF, UniRef:UniRef100_A0A2X5VRG3, UniRef:UniRef50_A0A075MEU3, UniRef:UniRef90_A0A446E6X1
contig_10	3660	3917	+	GJIDJL_05437	9.8	7.9		SO:0001217, UniParc:UPI00023221FE, UniRef:UniRef100_B1VCJ6, UniRef:UniRef50_B1VCJ6, UniRef:UniRef90_B1VCJ6
contig_10	67258	67437	+	GJIDJL_05508	6.4	6.1		SO:0001217, UniParc:UPI0002322202, UniRef:UniRef100_A0A2H3M3R5, UniRef:UniRef50_A0A2H3M3R5, UniRef:UniRef90_A0A2H3M3R5
contig_14	72	269	+	GJIDJL_05530	7.6	8.0		
contig_18	56	349	+	GJIDJL_05532	10.3	10.1		SO:0001217, UniRef:UniRef50_UPI0010BC4664
contig_20	378	644	+	GJIDJL_05533	10.0	10.2		
contig_30	126	365	+	GJIDJL_05534	8.9	6.1		
