# Annotated with Bakta
# Software: v1.12.0
# Database: v6.0, full
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Score	Evalue	Query Cov	Subject Cov	Id	Accession
contig_1	cds	21825	22448	-	GJIDJL_00018	369.0	2.2e-132	1.0	1.0	0.995	BlastRules:WP_000018003
contig_1	cds	22725	23489	+	GJIDJL_00019	522.0	2.5e-191	1.0	1.0	0.996	BlastRules:WP_001066494
contig_1	tRNA	23543	23618	-	GJIDJL_00020	85.1	-	-	-	-	-
contig_1	cds	23743	24249	+	GJIDJL_00021	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P0A9H1
contig_1	cds	24327	26168	-	GJIDJL_00022	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_C3STY7
contig_1	cds	26363	28108	-	GJIDJL_00023	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P0ABS5
contig_1	cds	28219	28434	-	GJIDJL_00024	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A8APV6
contig_1	cds	28671	29684	+	GJIDJL_00025	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A7ZRU6
contig_1	cds	29727	31190	-	GJIDJL_00026	933.0	0.0	1.0	1.0	0.992	BlastRules:WP_000804973
contig_1	cds	31239	31844	-	GJIDJL_00027	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A086TSP7
contig_1	cds	31841	32752	-	GJIDJL_00028	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P05847
contig_1	cds	32959	33891	+	GJIDJL_00029	624.0	7.6e-230	1.0	1.0	1.0	BlastRules:WP_000935206
contig_1	cds	33904	34521	-	GJIDJL_00030	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A7ZRU0
contig_1	cds	34626	34994	+	GJIDJL_00031	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A0B1MLC8
contig_1	cds	35085	35906	+	GJIDJL_00032	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A7ZRT8
contig_1	cds	36069	37307	-	GJIDJL_00033	836.0	3.2e-310	1.0	1.0	0.990	BlastRules:WP_000708487
contig_1	cds	37371	37991	-	GJIDJL_00034	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A066RFG9
contig_1	cds	38233	39534	+	GJIDJL_00035	848.0	2.2e-314	1.0	1.0	0.984	BlastRules:WP_000046281
contig_1	cds	39557	42397	+	GJIDJL_00036	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A066QA91
contig_1	cds	42445	43878	+	GJIDJL_00037	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P76658
contig_1	ncRNA	43923	44072	+	GJIDJL_00038	142.1	3.9e-23	-	-	-	RFAM:RF00113
contig_1	sorf	43998	44057	-	GJIDJL_00039	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A024LAN1
contig_1	ncRNA	44299	44448	+	GJIDJL_00040	147.8	3.7e-24	-	-	-	RFAM:RF00113
contig_1	sorf	44374	44433	-	GJIDJL_00041	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_C1P616
contig_1	cds	44672	46333	-	GJIDJL_00042	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_J7Q9S6
contig_1	cds	46360	46989	-	GJIDJL_00043	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_J7R5X3
contig_1	cds	47258	47458	+	GJIDJL_00044	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P26649
contig_1	cds	47501	48565	-	GJIDJL_00045	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A061KTM3
contig_1	cds	48567	49316	-	GJIDJL_00046	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_B7LGY1
contig_1	cds	49332	51845	-	GJIDJL_00047	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A2H3M0L9
contig_1	cds	51896	52447	-	GJIDJL_00048	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A066Q1I4
contig_1	cds	52730	53020	-	GJIDJL_00049	171.0	1.4e-57	1.0	1.0	0.979	BlastRules:WP_133301121
contig_1	ncRNA-region	53142	53290	+	-	120.8	3.0e-20	-	-	-	RFAM:RF00050
contig_1	cds	53394	54047	+	GJIDJL_00050	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P0A7J0
contig_1	cds	54536	55309	-	GJIDJL_00051	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P0A8H3
contig_1	cds	55425	56240	+	GJIDJL_00052	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A099AXH0
contig_1	cds	56278	57438	-	GJIDJL_00053	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A0A8KN27
contig_1	cds	57444	58115	-	GJIDJL_00054	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P0ADT2
contig_1	cds	58263	59744	-	GJIDJL_00055	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P02930
contig_1	cds	59949	60578	+	GJIDJL_00056	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q93K97
contig_1	cds	60579	61001	+	GJIDJL_00057	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P0ADU7
contig_1	cds	61026	61853	+	GJIDJL_00058	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P0AEW4
contig_1	cds	61853	62434	+	GJIDJL_00059	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P0A8Z7
contig_1	cds	62463	64355	+	GJIDJL_00060	1219.0	0.0	1.0	1.0	0.967	BlastRules:WP_000195318
contig_1	cds	64403	64717	-	GJIDJL_00061	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P0ADU2
contig_1	cds	64748	65329	-	GJIDJL_00062	405.0	3.6e-147	1.0	1.0	1.0	BlastRules:WP_000065430
contig_1	cds	65648	65980	+	GJIDJL_00063	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A066Q1K2
contig_1	cds	66026	67375	-	GJIDJL_00064	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A066RJD1
contig_1	cds	67372	68031	-	GJIDJL_00065	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q8XBS3
contig_1	cds	68183	68575	+	GJIDJL_00066	235.0	7.8e-82	1.0	1.0	1.0	BlastRules:WP_000712658
contig_1	cds	68628	69110	+	GJIDJL_00067	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_J7R5Q3
contig_1	cds	69429	69518	+	GJIDJL_00068	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A0K3U889
contig_1	cds	69656	71914	+	GJIDJL_00069	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P0AFI2
contig_1	cds	72147	72884	+	GJIDJL_00070	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A2A3WU90
contig_1	cds	72959	74371	+	GJIDJL_00071	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_C3SUI2
contig_1	cds	74482	76701	+	GJIDJL_00072	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q46861
contig_1	cds	76744	77001	-	GJIDJL_00073	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P65298
contig_1	cds	77052	77978	-	GJIDJL_00074	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_E2D2R4
contig_1	cds	78178	79005	-	GJIDJL_00075	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q46857
contig_1	ncRNA	79044	79107	-	GJIDJL_00076	99.0	3.9e-17	-	-	-	RFAM:RF02753
contig_1	cds	79110	80273	-	GJIDJL_00077	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A066QAC7
contig_1	cds	80410	81366	+	GJIDJL_00078	577.0	3.9e-211	0.940	1.0	0.993	BlastRules:WP_001407451
contig_1	cds	81406	82065	-	GJIDJL_00079	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P0AA60
contig_1	cds	82205	83392	-	GJIDJL_00080	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A093EP09
contig_1	cds	83644	84378	+	GJIDJL_00081	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P0ABU7
contig_1	cds	84385	84810	+	GJIDJL_00082	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P0ABV2
contig_1	cds	84849	85733	-	GJIDJL_00083	579.0	1.5e-212	1.0	1.0	0.997	BlastRules:WP_000018760
contig_1	cds	85924	86418	+	GJIDJL_00084	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P67244
contig_1	cds	86458	87498	-	GJIDJL_00085	696.0	3.9e-257	1.0	1.0	0.997	BlastRules:WP_000262172
contig_1	cds	87655	88542	+	GJIDJL_00086	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_J7QVT0
contig_1	cds	88661	88948	+	GJIDJL_00087	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P64574
contig_1	cds	89137	90255	+	GJIDJL_00088	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P69741
contig_1	cds	90258	91244	+	GJIDJL_00089	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P0AAJ8
contig_1	cds	91234	92412	+	GJIDJL_00090	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P37180
contig_1	cds	92409	94112	+	GJIDJL_00091	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P0ACE0
contig_1	cds	94112	94606	+	GJIDJL_00092	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_C3SUU2
contig_1	cds	94599	95087	+	GJIDJL_00093	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P0AAN1
contig_1	cds	95080	95421	+	GJIDJL_00094	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P0A703
contig_1	cds	95434	95682	+	GJIDJL_00095	167.0	1.7e-56	1.0	1.0	1.0	BlastRules:WP_000334896
contig_1	cds	95804	96784	-	GJIDJL_00096	644.0	3.1e-237	1.0	1.0	1.0	IS:IS621
contig_1	ncRNA	96977	97053	-	GJIDJL_00097	92.6	3.4e-14	-	-	-	RFAM:RF02564
contig_1	cds	97084	97950	-	GJIDJL_00098	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_B7LGD5
contig_1	cds	98155	100014	+	GJIDJL_00099	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P0AES0
contig_1	cds	100306	101805	+	GJIDJL_00100	941.0	0.0	1.0	1.0	0.990	BlastRules:WP_000933250
contig_1	cds	101854	102546	-	GJIDJL_00101	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A066Q1P2
contig_1	cds	102735	103433	+	GJIDJL_00102	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A1J0ZXB9
contig_1	cds	103465	104223	+	GJIDJL_00103	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0AAW4F044
contig_1	cds	104269	105618	+	GJIDJL_00104	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A066QAF5
contig_1	cds	105618	106442	+	GJIDJL_00105	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A061K5Q9
contig_1	cds	106454	107014	+	GJIDJL_00106	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0AAP8ATB1
contig_1	cds	107045	108115	+	GJIDJL_00107	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A066Q4T4
contig_1	cds	108112	109191	+	GJIDJL_00108	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A0E0XVR4
contig_1	cds	109226	110398	-	GJIDJL_00109	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_J7R8U9
contig_1	cds	110398	110646	-	GJIDJL_00110	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_J7Q9M4
contig_1	cds	110678	111592	-	GJIDJL_00111	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A093DBE4
contig_1	cds	111589	113310	-	GJIDJL_00112	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A1Q6ARU2
contig_1	cds	113681	114823	+	GJIDJL_00113	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A066QJQ9
contig_1	cds	114830	115594	-	GJIDJL_00114	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P0ACL5
contig_1	cds	115845	117344	+	GJIDJL_00115	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P0AEP9
contig_1	cds	117344	118396	+	GJIDJL_00116	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A061KQY1
contig_1	cds	118407	119630	+	GJIDJL_00117	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A066QFM0
contig_1	cds	119635	120039	+	GJIDJL_00118	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P0AEQ1
contig_1	cds	120061	122232	+	GJIDJL_00119	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A2H3M0P4
contig_1	ncRNA	122288	122509	-	GJIDJL_00120	291.8	1.9e-41	-	-	-	RFAM:RF00117
contig_1	cds	122588	124270	+	GJIDJL_00121	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A066RFP3
contig_1	cds	124756	129321	+	GJIDJL_00122	-	-	-	-	-	NCBIFam:NF037973.1
contig_1	cds	129461	130270	+	GJIDJL_00123	525.0	4.8e-192	1.0	1.0	0.963	BlastRules:WP_001333829
contig_1	cds	130336	130746	+	GJIDJL_00124	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q46835
contig_1	cds	130905	131723	+	GJIDJL_00125	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A093DMN4
contig_1	cds	131753	133813	+	GJIDJL_00126	1280.0	0.0	1.0	1.007	0.991	VFDB:VFG002047
contig_1	cds	133813	135306	+	GJIDJL_00127	938.0	0.0	1.0	1.0	0.982	VFDB:VFG002048
contig_1	cds	135306	136529	+	GJIDJL_00128	705.0	1.0e-258	0.980	1.0	0.970	VFDB:VFG002049
contig_1	cds	136546	137001	+	GJIDJL_00129	299.0	2.6e-106	1.0	1.0	0.993	VFDB:VFG002050
contig_1	cds	137005	137568	+	GJIDJL_00130	348.0	8.4e-125	1.0	1.0	0.957	VFDB:VFG002051
contig_1	cds	137565	137936	+	GJIDJL_00131	219.0	1.7e-75	1.0	1.0	0.935	VFDB:VFG002052
contig_1	cds	137933	138532	+	GJIDJL_00132	389.0	2.2e-140	1.0	0.990	0.985	VFDB:VFG002053
contig_1	cds	138535	139512	+	GJIDJL_00133	597.0	1.6e-218	1.0	1.0	0.978	VFDB:VFG002054
contig_1	cds	139509	140687	+	GJIDJL_00134	726.0	3.7e-267	1.0	1.0	0.944	VFDB:VFG002055
contig_1	cds	140689	141225	+	GJIDJL_00135	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A7Z1EHB4
contig_1	cds	141506	142348	-	GJIDJL_00136	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A069FJL5
contig_1	cds	142852	143229	-	GJIDJL_00137	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A2H3MKA4
contig_1	cds	143276	143653	-	GJIDJL_00138	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A0E0XUQ1
contig_1	cds	143733	143954	-	GJIDJL_00139	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q8G9T8
contig_1	cds	144041	144517	-	GJIDJL_00140	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI0002322087
contig_1	cds	144533	145006	-	GJIDJL_00141	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A2W6RGL6
contig_1	cds	145308	146126	-	GJIDJL_00142	546.0	1.0e-196	1.0	1.0	0.982	UniRef:UniRef90_A0A776LXH0
contig_1	cds	146226	146459	-	GJIDJL_00143	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q5I3J5
contig_1	cds	146538	146993	-	GJIDJL_00144	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q6KD75
contig_1	cds	147069	149585	-	GJIDJL_00145	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A2H3M0X6
contig_1	cds	149706	152825	-	GJIDJL_00146	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A0E0XU95
contig_1	ncRNA	152850	153055	-	GJIDJL_00147	255.6	6.7e-34	-	-	-	RFAM:RF00124
contig_1	cds	153159	154031	-	GJIDJL_00148	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A0A8KKA9
contig_1	cds	154141	155160	-	GJIDJL_00149	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A0E0XUQ7
contig_1	cds	156454	156669	+	GJIDJL_00150	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A0K5K306
contig_1	cds	156655	157227	-	GJIDJL_00151	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A0A8KMV8
contig_1	cds	157313	157519	-	GJIDJL_00152	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A0B0Z5C3
contig_1	cds	158218	158430	+	GJIDJL_00153	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A2H3M0T3
contig_1	cds	158670	158843	-	GJIDJL_00154	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A2X7RJU0
contig_1	cds	159047	159616	+	GJIDJL_00155	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A2H3M816
contig_1	cds	159784	160167	+	GJIDJL_00156	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI000C296C1B
contig_1	cds	160164	160280	+	GJIDJL_00157	-	-	-	-	-	-
contig_1	cds	160582	160764	+	GJIDJL_00158	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A2H3M0T2
contig_1	cds	160885	161508	+	GJIDJL_00159	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A0B0Z5R8
contig_1	cds	161604	161837	+	GJIDJL_00160	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A0B0Z9W0
contig_1	cds	162588	163085	+	GJIDJL_00161	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_B7LG72
contig_1	cds	163107	164468	+	GJIDJL_00162	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A0E0XW39
contig_1	cds	164570	165814	+	GJIDJL_00163	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A8B3KBG5
contig_1	cds	166050	167795	+	GJIDJL_00164	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_B7LFT1
contig_1	cds	167857	168165	+	GJIDJL_00165	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_X5FV07
contig_1	cds	168220	168447	+	GJIDJL_00166	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A0E0XXV6
contig_1	cds	168816	169460	+	GJIDJL_00167	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_B7LFS2
contig_1	cds	169526	169849	+	GJIDJL_00168	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A376XSS5
contig_1	cds	169880	170077	-	GJIDJL_00169	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_B7LFS3
contig_1	cds	170470	170676	+	GJIDJL_00170	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A2H3MQ68
contig_1	cds	171915	172181	-	GJIDJL_00171	184.0	3.2e-59	1.0	0.863	1.0	UniRef:UniRef90_A0A376XSV6
contig_1	cds	172577	173053	+	GJIDJL_00172	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_B7LFR5
contig_1	cds	173056	174534	+	GJIDJL_00173	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_B7LFQ8
contig_1	cds	174544	175050	+	GJIDJL_00174	-	-	1.0	1.0	1.0	NCBIProtein:CBG37385.1
contig_1	cds	175060	175482	+	GJIDJL_00175	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0AAW7USY9
contig_1	cds	175475	177277	+	GJIDJL_00176	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_B7LFR1
contig_1	cds	177268	178200	+	GJIDJL_00177	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0AAW7UUI1
contig_1	cds	178213	180195	+	GJIDJL_00178	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_B7LFQ9
contig_1	cds	180206	180673	+	GJIDJL_00179	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A2H3MKE1
contig_1	cds	180683	180982	+	GJIDJL_00180	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A2H3M3C8
contig_1	cds	180986	182062	+	GJIDJL_00181	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_B7LFQ6
contig_1	cds	182070	182621	+	GJIDJL_00182	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0AAW7USB3
contig_1	cds	182640	184052	+	GJIDJL_00183	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_B7LFQ4
contig_1	cds	184176	184394	+	GJIDJL_00184	-	-	-	-	-	-
contig_1	cds	184391	184981	+	GJIDJL_00185	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0AAW7US70
contig_1	cds	184987	188391	+	GJIDJL_00186	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A0E0XW59
contig_1	cds	188395	190944	+	GJIDJL_00187	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A0E0XUD7
contig_1	cds	191381	191944	+	GJIDJL_00188	377.0	2.9e-132	1.0	0.984	0.984	UniRef:UniRef90_A0A0E2KWW9
contig_1	ncRNA-region	191421	191536	+	-	116.5	8.1e-22	-	-	-	RFAM:RF01497
contig_1	cds	192536	194059	+	GJIDJL_00189	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_G4VUR8
contig_1	cds	194236	194622	+	GJIDJL_00190	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0AAV2X5R1
contig_1	cds	195179	195328	+	GJIDJL_00191	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A346Z9R8
contig_1	cds	195312	195431	+	GJIDJL_00192	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A377L9W8
contig_1	cds	195589	195705	+	GJIDJL_00193	-	-	-	-	-	-
contig_1	cds	196380	196946	+	GJIDJL_00194	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0AAW7USZ3
contig_1	cds	197425	198579	+	GJIDJL_00195	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A2H3MKF2
contig_1	cds	199645	199830	-	GJIDJL_00196	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q1RPL4
contig_1	cds	199894	201027	+	GJIDJL_00197	721.0	1.1e-265	1.0	1.0	0.973	IS:ISEc45
contig_1	cds	201762	203375	-	GJIDJL_00198	1062.0	0.0	1.0	1.0	1.0	IS:ISEc43
contig_1	cds	203406	203756	-	GJIDJL_00199	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A136WUH1
contig_1	cds	203753	204187	-	GJIDJL_00200	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A0E0YAI9
contig_1	cds	204296	204727	+	GJIDJL_00201	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0AAP7P7X8
contig_1	cds	204790	205008	+	GJIDJL_00202	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A0A3ST02
contig_1	cds	205159	209277	-	GJIDJL_00203	-	-	1.0	1.0	1.0	NCBIProtein:AFS72825.1
contig_1	cds	209442	209828	-	GJIDJL_00204	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0AAV2X5R1
contig_1	cds	210005	211528	-	GJIDJL_00205	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_G4VUR8
contig_1	cds	212120	212359	-	GJIDJL_00206	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A0E0XW70
contig_1	cds	212676	213827	+	GJIDJL_00207	757.0	5.8e-280	1.0	1.0	0.997	IS:IS30
contig_1	cds	213747	214097	-	GJIDJL_00208	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A0P7RAF0
contig_1	cds	214167	214460	-	GJIDJL_00209	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A2H3M860
contig_1	cds	214549	217419	-	GJIDJL_00210	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0AAN3TF82
contig_1	cds	217422	219050	-	GJIDJL_00211	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A244BAA0
contig_1	cds	219060	221447	-	GJIDJL_00212	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A7ZRA0
contig_1	cds	221457	222437	-	GJIDJL_00213	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A244BA40
contig_1	cds	222463	225312	-	GJIDJL_00214	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A2H3MG08
contig_1	ncRNA	225448	225527	+	GJIDJL_00215	56.9	2.9e-08	-	-	-	RFAM:RF01394
contig_1	cds	225723	226316	+	GJIDJL_00216	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_B7LFN2
contig_1	ncRNA	226390	226495	-	GJIDJL_00217	59.2	5.2e-09	-	-	-	RFAM:RF00106
contig_1	cds	226782	227045	-	GJIDJL_00218	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A3S5DUQ1
contig_1	cds	227186	227563	-	GJIDJL_00219	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_B1VCF3
